Date,P1
10/07/2024,4.049   	
09/30/2024,4.094   
09/23/2024,4.108   	
09/16/2024,4.119   
09/09/2024,4.153
09/02/2024,4.196   
08/26/2024,4.201 
08/19/2024,4.252    
08/12/2024,4.274
08/5/2024,4.302
07/29/2024,4.333
07/22/2024,4.331
07/15/2024,4.371
07/8/2024,4.367
07/1/2024,4.344
06/24/2024,4.319
06/17/2024,4.326
06/10/2024,4.331
06/3/2024,4.417
05/27/2024,4.479
05/20/2024,4.485
05/13/2024,4.513
05/6/2024,4.55
04/29/2024,4.566
04/22/2024,4.574
04/15/2024,4.536
04/8/2024,4.485
04/1/2024,4.393
03/25/2024,4.381
03/18/2024,4.31
03/11/2024,4.24
03/4/2024,4.214
02/26/2024,4.11
02/19/2024,4.128
02/12/2024,4.059
02/5/2024,4.009
01/29/2024,3.971
01/22/2024,3.942
01/15/2024,3.947
01/8/2024,3.983
01/1/2024,4
12/25/2023,4.014
12/18/2023,3.957
12/11/2023,4.042
12/4/2023,4.138
11/27/2023,4.157
11/20/2023,4.209
11/13/2023,4.262
11/6/2023,4.312
10/30/2023,4.4
10/23/2023,4.465
10/16/2023,4.522
10/9/2023,4.627
10/2/2023,4.759
09/25/2023,4.758
09/18/2023,4.775
09/11/2023,4.694
09/4/2023,4.672
08/28/2023,4.683
08/21/2023,4.717
08/14/2023,4.683
08/7/2023,4.655
07/31/2023,4.582
07/24/2023,4.443
07/17/2023,4.412
07/10/2023,4.405
07/3/2023,4.379
06/26/2023,4.41
06/19/2023,4.414
06/12/2023,4.428
06/5/2023,4.384
05/29/2023,4.406
05/22/2023,4.361
05/15/2023,4.359
05/8/2023,4.362
05/1/2023,4.424
04/24/2023,4.469
04/17/2023,4.458
04/10/2023,4.391
04/3/2023,4.305
03/27/2023,4.247
03/20/2023,4.247
03/13/2023,4.284
03/6/2023,4.239
02/27/2023,4.189
02/20/2023,4.215
02/13/2023,4.212
02/6/2023,4.246
01/30/2023,4.27
01/23/2023,4.189
01/16/2023,4.096
01/9/2023,4.055
01/2/2023,4.028
